"id","overrideValues","name","ref1","ref2","ref3","ref4","ref5","ref6","ref7","ref8","ref9","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref17","ref18","ref19","ref20"
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","ACTIVE","Y","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","PASSWORD_EXPIRED","Y","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","SUSPENDED","Y","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","LOCKED_OUT","Y","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","RECOVERY","Y","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","PROVISIONED","N","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","DEPROVISIONED","N","","","","","","","","","","","","","","","","","",""
"9d8c0f6f-5213-436d-9211-088e090ebd38","true","CRT_OKTA_UserStatus","STAGED","N","","","","","","","","","","","","","","","","","",""
"6026110b-facd-4dd3-8f67-c8488040e037","false","CRT_OKTA_UserStatus","","","","","","","","","","","","","","","","","","","",""
